Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10317101 , 195094d , 3er Handels- und Dienstleistu... , Kleine und mittlere Unternehmen , Oberösterreich , Großhandel mit Metall- und Ku... , Bürgschaft , Behebung einer beträchtlichen... ," 250,000 EUR "," 250,000 EUR ", 17/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Fourth amendment to... en , SA.61210 , TM-10316907 , 195094d , 3er Handels- und Dienstleistu... , Kleine und mittlere Unternehmen , Oberösterreich ," Wirtschaftsförderung, -ordnun... ", Bürgschaft , Behebung einer beträchtlichen... ," 1,575,000 EUR "," 1,575,000 EUR ", 04/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10326884 , 287565s , 4 Audio Musikelektronik-Vertr... , Kleine und mittlere Unternehmen , Niederösterreich , Großhandel mit sonstigen Gebr... , Bürgschaft , Behebung einer beträchtlichen... ," 150,000 EUR "," 150,000 EUR ", 30/04/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10335239 , 274124z , 4-3-2-1 Lernen mit Erfolg Mag... , Kleine und mittlere Unternehmen , Steiermark , Sonstiger Unterricht a. n. g. , Bürgschaft , Behebung einer beträchtlichen... ," 250,000 EUR "," 250,000 EUR ", 30/07/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10327186 , 326279y , 4D Herzog & Vitale OG , Kleine und mittlere Unternehmen , Vorarlberg , Sonstiger Einzelhandel mit Wa... , Bürgschaft , Behebung einer beträchtlichen... ," 250,000 EUR "," 250,000 EUR ", 30/04/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10326164 , 241017m , 5 P Consulting GmbH , Kleine und mittlere Unternehmen , Wien , Unternehmensberatung , Bürgschaft , Behebung einer beträchtlichen... ," 370,000 EUR "," 370,000 EUR ", 08/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10323720 , ATU53699403 , 5 Täler Bauhandels GmbH , Kleine und mittlere Unternehmen , Vorarlberg ," Einzelhandel mit Metallwaren,... ", Zuschuss , Behebung einer beträchtlichen... , ," 222,507.67 EUR ", 02/12/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10326440 , 164957i , 7 Punkt Communication Group G... , Kleine und mittlere Unternehmen , Oberösterreich , Werbeagenturen , Bürgschaft , Behebung einer beträchtlichen... ," 150,000 EUR "," 150,000 EUR ", 29/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10317085 , 306819f , 7-Dance! Die Tanzschule GmbH , Kleine und mittlere Unternehmen , Oberösterreich , Einzelhandel mit Textilien , Bürgschaft , Behebung einer beträchtlichen... ," 150,000 EUR "," 150,000 EUR ", 18/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10321051 , 452077w , 7lytix gmbh , Kleine und mittlere Unternehmen , Oberösterreich , Erbringung von sonstigen Dien... , Bürgschaft , Behebung einer beträchtlichen... ," 500,000 EUR "," 500,000 EUR ", 01/12/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10335700 , 437116v , 9Y Media Group GmbH , Kleine und mittlere Unternehmen , Wien , Programmierungstätigkeiten , Bürgschaft , Behebung einer beträchtlichen... ," 386,000 EUR "," 386,000 EUR ", 28/09/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Austrian scheme for... en , SA.56981 , TM-10319360 , 56669m , A Dolschek GmbH , Kleine und mittlere Unternehmen , Salzburg , Beherbergung , Bürgschaft , Behebung einer beträchtlichen... ," 305,000 EUR "," 305,000 EUR ", 04/11/2020 , Österreichische Hotel- und Tourismusbank (ÖHT) , 07/05/2021 
Österreich, COVID-19: Austrian scheme for... en , SA.56981 , TM-10318698 , 210185x , A Eisenbock KG , Kleine und mittlere Unternehmen , Niederösterreich , Beherbergung , Bürgschaft , Behebung einer beträchtlichen... ," 200,000 EUR "," 200,000 EUR ", 27/05/2020 , Österreichische Hotel- und Tourismusbank (ÖHT) , 07/05/2021 
Österreich, COVID-19: Austrian scheme for... en , SA.56981 , TM-10319619 , 161694k , A Grissemann Hotel St Hubert... , Kleine und mittlere Unternehmen , Salzburg , Beherbergung , Bürgschaft , Behebung einer beträchtlichen... ," 150,000 EUR "," 150,000 EUR ", 13/08/2020 , Österreichische Hotel- und Tourismusbank (ÖHT) , 07/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10323931 , ATU71472248 , A & A Hotelbetriebs GmbH , Kleine und mittlere Unternehmen , Tirol ," Hotels, Gasthöfe und Pensionen ", Zuschuss , Behebung einer beträchtlichen... , ," 110,229.22 EUR ", 18/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
